x,y
0,1213
1,1236
2,1207
3,1246
4,1249
5,1243
6,1239
7,1238
8,1199
9,1237
10,1330
11,1256
12,1198
13,1203
14,1281
15,1222
16,1279
17,1206
18,1268
19,1226
20,1192
21,1209
22,1198
23,1250
24,1271
25,1256
26,1185
27,1103
28,1165
29,1187
30,1220
31,1218
32,1154
33,1152
34,1155
35,1138
36,1164
37,1191
38,1141
39,1123
40,1165
41,1117
42,1133
43,1157
44,1077
45,1033
46,1050
47,1040
48,1075
49,1084
50,1083
51,1059
52,1063
53,1063
54,1112
55,1106
56,1055
57,1040
58,1115
59,1077
60,1060
61,1133
62,1053
63,1030
64,1071
65,1056
66,1061
67,1132
68,1040
69,1039
70,1052
71,1036
72,1055
73,982
74,1038
75,1020
76,1001
77,963
78,1026
79,1001
80,952
81,986
82,924
83,937
84,985
85,911
86,945
87,974
88,1000
89,953
90,966
91,941
92,930
93,968
94,948
95,961
96,880
97,925
98,955
99,862
100,921
101,936
102,919
103,905
104,945
105,883
106,913
107,846
108,884
109,878
110,834
111,881
112,913
113,835
114,903
115,848
116,860
117,822
118,868
119,849
120,811
121,777
122,792
123,820
124,870
125,841
126,781
127,858
128,770
129,811
130,807
131,784
132,818
133,750
134,737
135,798
136,761
137,757
138,795
139,803
140,781
141,767
142,770
143,691
144,732
145,713
146,727
147,719
148,734
149,727
150,732
151,722
152,695
153,737
154,704
155,749
156,722
157,708
158,674
159,666
160,661
161,661
162,691
163,683
164,684
165,687
166,648
167,636
168,639
169,628
170,654
171,635
172,645
173,673
174,665
175,618
176,583
177,623
178,618
179,628
180,665
181,641
182,594
183,586
184,643
185,640
186,584
187,613
188,650
189,619
190,622
191,638
192,588
193,636
194,642
195,562
196,614
197,590
198,575
199,587
200,582
201,542
202,601
203,538
204,582
205,583
206,558
207,560
208,529
209,563
210,585
211,570
212,559
213,595
214,572
215,569
216,547
217,519
218,574
219,513
220,552
221,541
222,588
223,507
224,523
225,516
226,557
227,561
228,548
229,610
230,525
231,580
232,610
233,599
234,564
235,553
236,600
237,558
238,587
239,583
240,571
241,598
242,665
